08/13/19,7226
08/14/19,7250
08/14/19,7147
08/16/19,7067
08/19/19,7117
08/20/19,7189
08/21/19,7125
08/22/19,7203
08/23/19,7128
08/27/19,7094
08/28/19,7089
08/29/19,7114
08/30/19,7184
09/02/2019,7207
09/03/2019,7281
09/04/2019,7268
09/05/2019,7311
09/06/2019,7311
09/09/2019,7282
09/10/2019,7235
09/10/2019,7267
09/12/2019,7338
09/13/19,7344
09/16/19,7367
09/17/19,7321
09/18/19,7320
09/19/19,7338.0
09/20/19,7356
09/23/19,7344
09/24/19,7326
09/25/19,7291
09/26/19,7289
09/27/19,7351
09/30/19,7426
10/01/2019,7408
10/02/2019,7360
10/03/2019,7122
10/04/2019,7077
10/07/2019,7155
10/08/2019,7197
10/09/2019,7143
10/10/2019,7166
10/11/2019,7186
10/14/19,7247
10/15/19,7213
10/16/19,7211
10/17/19,7167
10/18/19,7182
10/21/19,7150
10/22/19,7163
10/23/19,7212
10/24/19,7260
10/25/19,7328
10/28/19,7324
10/29/19,7331
10/30/19,7306
10/31/19,7330
11/01/2019,7248
11/04/2019,7302
11/05/2019,7369
11/06/2019,7388
11/07/2019,7396
11/08/2019,7406
11/11/2019,7359
11/12/2019,7328
11/13/19,7365
11/14/19,7351
11/15/19,7292
11/18/19,7302
11/19/19,7307
11/20/19,7323
11/21/19,7262
11/22/19,7238
11/25/19,7326
11/26/19,7396
11/27/19,7403
11/28/19,7429
11/29/19,7416
12/02/2019,7346
12/03/2019,7285
12/04/2019,7158
12/05/2019,7188
12/06/2019,7137
12/09/2019,7239
12/10/2019,7233
12/11/2019,7213
12/12/2019,7216
12/13/19,7273
12/16/19,7353
12/17/19,7519
12/18/19,7525
12/19/19,7540
12/20/19,7573
12/23/19,7582
12/24/19,7623
12/25/19,7632
12/26/19,7632
12/27/19,7632
12/30/19,7644
12/31/19,7587
01/01/2020,7542
01/02/2020,7542
01/03/2020,7604
01/06/2020,7622
01/07/2020,7575
01/08/2020,7573
01/09/2020,7574
01/10/2020,7598
01/13/20,7587
01/14/20,7617
01/15/20,7622
01/16/20,7642
01/17/20,7609
01/20/20,7674
01/21/20,7651
01/22/20,7610
01/23/20,7571
01/24/20,7507
01/27/20,7585
01/28/20,7412
01/29/20,7480
01/30/20,7483
01/31/20,7381
02/03/2020,7286
02/04/2020,7326
02/05/2020,7439
02/06/2020,7482
02/07/2020,7504
02/10/2020,7466
02/11/2020,7446
02/12/2020,7499
02/13/20,7534
02/14/20,7452
02/17/20,7409
02/18/20,7433
02/19/20,7382
02/20/20,7457
02/21/20,7436
02/24/20,7403
02/25/20,7156
02/26/20,7017
02/27/20,7042
02/28/20,6796
03/02/2020,6580
03/03/2020,6654
03/04/2020,6718
03/05/2020,6815
03/06/2020,6705
03/09/2020,6462
03/10/2020,5965
03/11/2020,5960
03/12/2020,5876
03/13/20,5237
03/16/20,5366
03/17/20,5151
03/18/20,5294
03/19/20,5080
03/20/20,5151
03/23/20,5190
03/24/20,4993
03/25/20,5446
03/26/20,5688
03/26/20,5815
03/30/20,5510
03/31/20,5563
04/01/2020,5671
04/02/2020,5454
04/03/2020,5480
04/06/2020,5415
04/07/2020,5582
04/08/2020,5704
04/09/2020,5677
04/10/2020,5842
04/13/20,5842
04/14/20,5842
04/15/20,5791
04/16/20,5597
04/17/20,5628
04/20/20,5786
04/21/20,5812
04/22/20,5641
04/23/20,5770
04/24/20,5826
04/27/20,5752
04/28/20,5846
04/29/20,5958
04/30/20,6115
05/01/2020,5901
05/04/2020,5763
05/05/2020,5753
05/06/2020,5849
05/07/2020,5853
05/11/2020,5935
05/12/2020,5939
05/13/20,5994
05/14/20,5904
05/15/20,5741
05/18/20,5799
05/19/20,5799
05/20/20,6002
05/21/20,6067
05/22/20,6015
05/26/20,5993
05/27/20,6067
05/28/20,6144
05/29/20,6218
06/01/2020,6076
06/02/2020,6166
06/03/2020,6220
06/04/2020,6382
06/05/2020,6341
06/08/2020,6484
06/09/2020,6472
06/10/2020,6335
06/11/2020,6329
06/12/2020,6076
06/15/20,6105
06/16/20,6064
06/17/20,6242
06/18/20,6253
06/19/20,6224
06/22/20,6292
06/23/20,6244
06/24/20,6320
06/25/20,6123
